param,value,ci_low,ci_high
a,50882080.86085043,11615712.909155272,222504565.9581183
b,32.30138982027415,-2322.536304597794,133.04740955956458
c,-598784.2708740234,-20319192.61446228,-1000.2472076416016
d,103008.97246452696,102804.26096690088,103070.85341195841
