model,r2,rmse,aic,bic,a,b,c,d,A,k,B,m
biexp,0.9692415901820504,140.8826043272625,277.1880553084286,283.66723963845027,,,,102828.40260289464,-4641.935691942395,0.5755259790011726,2073.686664834326,0.0024496407218224615
rational_abcd,0.9653187829365261,149.59690090016576,278.4289948685621,283.6123423325794,50919893.50878678,32.31103071989797,-599465.6837634057,103008.8520825982,,,,
